postal,LULA,JB,state_total_votes,total_LJB,percent_Lula
pi,1551383,467065,2018448,2018448,76.86019159274848
ba,6097815,2357028,8454843,8454843,72.12215531382428
ma,2668425,1082749,3751174,3751174,71.13572977419868
ce,3807891,1634477,5442368,5442368,69.96753986499994
se,862951,421086,1284037,1284037,67.2060851829036
pe,3640933,1798832,5439765,5439765,66.93180679680097
pb,1601953,802502,2404455,2404455,66.62437017952094
rn,1326785,711381,2038166,2038166,65.09700387505237
al,976831,687827,1664658,1664658,58.68058183723023
pa,2509084,2073895,4582979,4582979,54.74788341818717
to,434593,411654,846247,846247,51.35533715333703
am,1004991,961741,1966732,1966732,51.09953974410342
mg,6190960,6141310,12332270,12332270,50.20130113920632
ap,189918,200547,390465,390465,48.63893050593523
sp,11519882,14216587,25736469,25736469,44.76092660574378
rs,2891851,3733185,6625036,6625036,43.650343937753696
rj,4156217,5403894,9560111,9560111,43.47456844381828
es,926767,1282145,2208912,2208912,41.95581354078388
go,1542115,2193041,3735156,3735156,41.28649512898524
df,729295,1041331,1770626,1770626,41.18854009824774
ms,599547,880606,1480153,1480153,40.505745014197856
pr,2506605,4159343,6665948,6665948,37.60312861726494
mt,652786,1216730,1869516,1869516,34.9173796854373
sc,1351918,3047630,4399548,4399548,30.728565752663684
ac,121566,287750,409316,409316,29.699791847863267
ro,262904,633236,896140,896140,29.33738032003928
rr,67128,213518,280646,280646,23.919100931422506
